drive_id,name,path,md5,modified_time,size,timestamp,action
1fRy3yqGAdHK-jssHaG00HvdoAM59mwdq,WORM GEAR.SLDASM,Claw\Old Claw\WORM GEAR.SLDASM,338f729e67876c6d6dc71d73ca24e5e5,1761428918.0,1942815,1761428963,download_new
1ELocbvuPrEpcBBGvpbRMCvVFlKKSb6RF,Top Bearing Constraint.SLDPRT,Claw\Old Claw\Top Bearing Constraint.SLDPRT,1d93e0072c99ef42fe1febf12c83d231,1761428916.0,254731,1761428964,download_new
1NPMVwi4WrKpVqIygMMx4h8LQWsyyKSmV,WORM GEAR.STEP,Claw\Old Claw\WORM GEAR.STEP,366d0d9be3b9c16951ba7f6b090c5377,1761428918.0,2424401,1761428964,download_new
1QiuIARp8AByXywrYjWrn0DCqL8lZPhvJ,shoulder_motor_gearbox.SLDASM,shoulder\assm\shoulder_motor_gearbox.SLDASM,c586d22436ef4f9643139bc7956af972,,4451392,1761429430,delete_cloud
12MXj_RyhDh-HxZX0QwJikIygC4xJ7DmJ,EG34-G10.STEP,shoulder\parts\EG34-G10.STEP,ef4dd62a349485b1ea47f66ef56a083d,1761427232.05609,2261575,1761429432,upload_new
1Puv9p0XBUEsjqpA4NCL4zMNfZWbabU7d,nema_with_gearbox.SLDASM,shoulder\assm\nema_with_gearbox.SLDASM,1f5098648a077f54c43861124732e29a,1761429420.5397644,6163227,1761429433,upload_new
1u7qQ_lpaCik3fxeynAQoDRcDhmAdiCDW,34E1K-120.STEP,shoulder\parts\34E1K-120.STEP,ed9cf37dc69af0bac7a0e1177fdeea0f,1761426213.3682978,7980467,1761429435,upload_new
1c_ho5trXHcmXQTrlZ8_UCL_emUhVht8-,TestSketch.SLDPRT,Claw\Parallel Claw Prototype\TestSketch.SLDPRT,af3a1e081980d8a08dde22a969898715,1761429294.0,37689,1761429442,download_new
1u_lALwQImFgholk5yoLN2UCYIFjUyxAB,Camera Mount.SLDPRT,Claw\Old Claw\Camera Mount.SLDPRT,28c070b7307638c0168434156a8be5b6,1761429367.0,200713,1761429443,download_revision
1wsfqgx-bcLwowyHDk-J3JnP-N_0ZL9n4,Claw Mirror.SLDPRT,Claw\Old Claw\Claw Mirror.SLDPRT,5e5786e2908721ecef54c509ceee93ca,1761429367.0,148864,1761429443,download_revision
1SZ7AOZS94SPjDNX63qcO1gbEXu5DgFyb,5905K75_Needle-Roller Bearing.SLDPRT,Claw\Old Claw\5905K75_Needle-Roller Bearing.SLDPRT,5466e49da78a1c5d1cb9c933b9868154,1761429366.0,264151,1761429443,download_revision
1w1lbUuUBB9q0C0Vg9L2ilEmSQcfGsc6F,Claw Top Bottom Side Plates & Standoffs.SLDPRT,Claw\Old Claw\Claw Top Bottom Side Plates & Standoffs.SLDPRT,0e0d4d65ec1e029b1bfca12341943acb,1761429366.0,328764,1761429443,download_revision
1bICEf7crJyIvqe7suaK9Cpz7ITmGU1_d,Bottom Bearing Constraint.SLDPRT,Claw\Old Claw\Bottom Bearing Constraint.SLDPRT,12b8af86af9892742a4efde75c13ae2b,1761429366.0,226267,1761429443,download_revision
1M5w909zRfoe7-U9lxP2mvmtPEozZT4go,Claw Assembly V2.SLDASM,Claw\Old Claw\Claw Assembly V2.SLDASM,f339488c75483a1132f8cd690180aa84,1761429368.0,2849520,1761429443,download_revision
137wg0zMVDXrdUBGpJLKLlFrdJZe-X4fH,Claw Drive Shaft.SLDPRT,Claw\Old Claw\Claw Drive Shaft.SLDPRT,8826dc482b119f6be3e11230de43284f,1761429366.0,239202,1761429443,download_revision
19UsDkn7c5_xpCR43JeDelCfF6EuZ7Hfw,Claw.SLDPRT,Claw\Old Claw\Claw.SLDPRT,f7057ccb6de0845ee0a55848a27767a3,1761429366.0,145647,1761429444,download_revision
11LhtPnLZdWCS--tKZK6BwsFKqwBWaskR,Servo.SLDPRT,Claw\Old Claw\Servo.SLDPRT,b313c9342e9325274494837aaf518690,1761429368.0,156198,1761429445,download_revision
1ELocbvuPrEpcBBGvpbRMCvVFlKKSb6RF,Top Bearing Constraint.SLDPRT,Claw\Old Claw\Top Bearing Constraint.SLDPRT,6a35e2e29008fdb9215b2e6f10fa20d9,1761429368.0,256108,1761429445,download_revision
1eQ9LeO3z9v81cVcZ7Ah8wh0Zdpk3OJyb,Spacer for Claw & Claw Plate V2 cutout for screw heads.SLDPRT,Claw\Old Claw\Spacer for Claw & Claw Plate V2 cutout for screw heads.SLDPRT,91e6ec78a0db92ec89af4583edd0cddf,1761429368.0,187281,1761429445,download_revision
1qmJr0x_cqWNKoZZeLWDOQGfiPSCgzZqz,GEAR.SLDPRT,Claw\Old Claw\GEAR.SLDPRT,7b67cc54f3da0fc7592c3f91e40f3282,1761429368.0,1210905,1761429445,download_revision
1fRy3yqGAdHK-jssHaG00HvdoAM59mwdq,WORM GEAR.SLDASM,Claw\Old Claw\WORM GEAR.SLDASM,8c6e0eeb63de02f1d424a887a9b958c4,1761429369.0,1945573,1761429445,download_revision
1Puv9p0XBUEsjqpA4NCL4zMNfZWbabU7d,nema_with_gearbox.SLDASM,shoulder\assm\nema_with_gearbox.SLDASM,130970d8674c073d6d0481d2918e3e92,1761429848.0,6173487,1761429915,download_revision
1Puv9p0XBUEsjqpA4NCL4zMNfZWbabU7d,nema_with_gearbox.SLDASM,shoulder\assm\nema_with_gearbox.SLDASM,10902c8d96a8bc9ce99efbb6736deedc,1761774606.9394147,6782421,1761774656,upload_revision
1okCpegjLWa5ZSpQwdCmVIzw4Bk8GxAYH,ST-M7.STEP,elbow\parts\ST-M7.STEP,f09737657a9cb00070d82b4627c9a9f4,1761778340.0,457450,1761778383,download_new
1rWi7zyDnVkz9E_V8Q59OdKzxzZZxv2Fi,EG34-G10.STEP,elbow\parts\EG34-G10.STEP,ef4dd62a349485b1ea47f66ef56a083d,1761776824.0,2261575,1761778383,download_new
1NKYvF5TXTg_SAvui7UP8KEHNyJi6ws0Z,nema_with_gearbox.SLDASM,elbow\assm\nema_with_gearbox.SLDASM,392cbd51bebeac79e9923bcbb6c50d82,1761778343.0,6461691,1761778383,download_new
